protein accession	sequence accession	genome accession	contig accession	pass all	category	hmm model	highest domain score
XP_015756014.1	XP_015756014.1	GCF_000222465.1	NW_015441130.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	58.8
NW_018384609.1_K04564_9ada1ad3	NW_018384609.1_K04564_9ada1ad3_with_leader_u26_PF00081_M	GCF_001417965.1	NW_018384609.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	138.6
NW_018385051.1_K04564_bf905449	NW_018385051.1_K04564_bf905449_with_leader_u32_PF00081_M	GCF_001417965.1	NW_018385051.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	290.2
XP_020892835.1	XP_020892835.1	GCF_001417965.1	NW_018384609.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	163.6
XP_020896468.1	XP_020896468.1	GCF_001417965.1	NW_018385051.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	355.2
NW_018149988.1_K04564_d6a2d83a	NW_018149988.1_K04564_d6a2d83a_with_leader_u26_PF00081_M	GCF_002042975.1	NW_018149988.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	151.2
XP_020624989.1	XP_020624989.1	GCF_002042975.1	NW_018149988.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	162.7
NW_019217915.1_K04564_8c7a1a6e	NW_019217915.1_K04564_8c7a1a6e_with_leader_u35_PF00081_M	GCF_002571385.2	NW_019217915.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	316.8
NW_019218106.1_K04564_a8e289e7	NW_019218106.1_K04564_a8e289e7_with_leader_u26_PF00081_M	GCF_002571385.2	NW_019218106.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	137.7
NW_019218106.1_K04564_a8e289e7	NW_019218106.1_K04564_a8e289e7_with_leader_u25_PF00081_M	GCF_002571385.2	NW_019218106.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	137.7
XP_022789717.1	XP_022789717.1	GCF_002571385.2	NW_019217915.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	363.9
XP_022799031.1	XP_022799031.1	GCF_002571385.2	NW_019218106.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	159.1
XP_022799031.1	XP_022799031.1_with_leader_u25_PF00081_M	GCF_002571385.2	NW_019218106.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	159.1
NW_020845403.1_K04564_b41b5453	NW_020845403.1_K04564_b41b5453_with_leader_u26_PF00081_M	GCF_003704095.1	NW_020845403.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	139.7
XP_027044652.1	XP_027044652.1	GCF_003704095.1	NW_020845403.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	102.5
XP_027045969.1	XP_027045969.1	GCF_003704095.1	NW_020845583.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	374.7
NW_021126546.1_K04564_2e4adbc0	NW_021126546.1_K04564_2e4adbc0_with_leader_u27_PF00081_M	GCF_004143615.1	NW_021126546.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	109.5
NW_021163045.1_K04564_93184bc0	NW_021163045.1_K04564_93184bc0_with_leader_u35_PF00081_M	GCF_004324835.1	NW_021163045.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	270.6
NW_021163057.1_K04564_58bba69c	NW_021163057.1_K04564_58bba69c_with_leader_u28_PF00081_M	GCF_004324835.1	NW_021163057.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	132.7
XP_028402961.1	XP_028402961.1	GCF_004324835.1	NW_021163045.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	327.1
XP_028405302.1	XP_028405302.1_with_leader_u28_PF00081_M	GCF_004324835.1	NW_021163057.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	150.4
NW_022259326.1_K04564_c5c784a5	NW_022259326.1_K04564_c5c784a5_with_leader_u26_PF00081_M	GCF_009602425.1	NW_022259326.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	141.7
NW_022259448.1_K04564_94b23c3f	NW_022259448.1_K04564_94b23c3f_with_leader_u34_PF00081_M	GCF_009602425.1	NW_022259448.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	72.8
XP_031555730.1	XP_031555730.1	GCF_009602425.1	NW_022259326.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	165.1
XP_031556222.1	XP_031556222.1	GCF_009602425.1	NW_022259448.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	194.3
XP_065051554.1	XP_065051554.1	GCF_013076305.1	NW_027019302.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	331.4
XP_065052710.1	XP_065052710.1	GCF_013076305.1	NW_027019306.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	160.1
NC_058072.1_K04564_d76f083e	NC_058072.1_K04564_d76f083e_with_leader_u27_PF00081_M	GCF_013753865.1	NC_058072.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	125.0
NC_058072.1_K04564_e7306cec	NC_058072.1_K04564_e7306cec_with_leader_u27_PF00081_M	GCF_013753865.1	NC_058072.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	124.5
XP_029200276.2	XP_029200276.2	GCF_013753865.1	NC_058072.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	146.7
XP_044179376.1	XP_044179376.1	GCF_013753865.1	NC_058072.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	148.5
NW_025813402.1_K04564_d3bead77	NW_025813402.1_K04564_d3bead77_with_leader_u26_PF00081_M	GCF_021976095.1	NW_025813402.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	125.6
NW_025813488.1_K04564_dc28fde6	NW_025813488.1_K04564_dc28fde6_with_leader_u35_PF00081_M	GCF_021976095.1	NW_025813488.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	235.6
NW_025813488.1_K04564_dc28fde6	NW_025813488.1_K04564_dc28fde6_with_leader_u26_PF00081_M	GCF_021976095.1	NW_025813488.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	235.8
XP_046848022.1	XP_046848022.1	GCF_021976095.1	NW_025813402.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	146.9
NW_026709483.1_K04564_f6c44c1b	NW_026709483.1_K04564_f6c44c1b_with_leader_u35_PF00081_M	GCF_030620025.1	NW_026709483.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	332.1
NW_026710474.1_K04564_6393b7b3	NW_026710474.1_K04564_6393b7b3_with_leader_u26_PF00081_M	GCF_030620025.1	NW_026710474.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	157.2
XP_058945240.1	XP_058945240.1	GCF_030620025.1	NW_026709483.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	374.6
XP_058961470.1	XP_058961470.1	GCF_030620025.1	NW_026710474.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	163.2
NC_090047.1_K04564_9ff9e7e6	NC_090047.1_K04564_9ff9e7e6_with_leader_u27_PF00081_M	GCF_036669905.1	NC_090047.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	123.8
XP_067022095.1	XP_067022095.1	GCF_036669905.1	NC_090047.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	147.2
NC_089313.1_K04564_d4ce240d	NC_089313.1_K04564_d4ce240d_with_leader_u35_PF00081_M	GCF_036669915.1	NC_089313.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	331.5
NC_089321.1_K04564_80b85b49	NC_089321.1_K04564_80b85b49_with_leader_u26_PF00081_M	GCF_036669915.1	NC_089321.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	139.1
XP_058945240.2	XP_058945240.2	GCF_036669915.1	NC_089313.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	375.1
NC_090883.1_K04564_15cd5c3b	NC_090883.1_K04564_15cd5c3b_with_leader_u26_PF00081_M	GCF_036669925.1	NC_090883.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	139.5
XP_068741652.1	XP_068741652.1	GCF_036669925.1	NC_090883.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	161.2
NC_090876.1_K04564_d2caed50	NC_090876.1_K04564_d2caed50_with_leader_u26_PF00081_M	GCF_036669935.1	NC_090876.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	143.8
XP_068715352.1	XP_068715352.1	GCF_036669935.1	NC_090876.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	165.3
NC_088930.1_K04564_c6107477	NC_088930.1_K04564_c6107477_with_leader_u22_PF00081_M	GCF_038396675.1	NC_088930.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	136.6
NP_001296665.1	NP_001296665.1	GCF_038396675.1	NC_088930.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	157.1
NC_064035.1_K04564_8bf6ddb6	NC_064035.1_K04564_8bf6ddb6_with_leader_u35_PF00081_M	GCF_932526225.1	NC_064035.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	290.9
NC_064035.1_K04564_e2e0e4b8	NC_064035.1_K04564_e2e0e4b8_with_leader_u23_PF00081_M	GCF_932526225.1	NC_064035.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	168.4
XP_048580243.1	XP_048580243.1	GCF_932526225.1	NC_064035.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	351.0
NC_133203.1_K04564_101605b8	NC_133203.1_K04564_101605b8_with_leader_u26_PF00081_M	GCF_958299795.1	NC_133203.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	151.2
NC_133203.1_K04564_101605b8	NC_133203.1_K04564_101605b8_with_leader_u17_PF00081_M	GCF_958299795.1	NC_133203.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	151.4
XP_073236307.1	XP_073236307.1	GCF_958299795.1	NC_133203.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	157.6
XP_073236307.1	XP_073236307.1_with_leader_u17_PF00081_M	GCF_958299795.1	NC_133203.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	157.8
DF239687.1_K04564_210fd9cb	DF239687.1_K04564_210fd9cb_with_leader_u55_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.6
DF239687.1_K04564_210fd9cb	DF239687.1_K04564_210fd9cb_with_leader_u39_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.9
DF239687.1_K04564_387475d1	DF239687.1_K04564_387475d1_with_leader_u55_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.6
DF239687.1_K04564_387475d1	DF239687.1_K04564_387475d1_with_leader_u39_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.9
DF239687.1_K04564_8557d9bb	DF239687.1_K04564_8557d9bb_with_leader_u55_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	447.7
DF239687.1_K04564_8557d9bb	DF239687.1_K04564_8557d9bb_with_leader_u39_PF00081_M_to_K04564_203	GCA_000507305.1	DF239687.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	448.0
LSRX01000795.1_K04564_1fcb6a32	LSRX01000795.1_K04564_1fcb6a32_with_leader_u60_PF00081_M_to_K04564_198	GCA_001939145.1	LSRX01000795.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	393.3
LSRX01000795.1_K04564_1fcb6a32	LSRX01000795.1_K04564_1fcb6a32_with_leader_u36_PF00081_M_to_K04564_198	GCA_001939145.1	LSRX01000795.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	393.7
OLP79028.1	OLP79028.1_with_leader_u63_PF00081_M_to_K04564_1017	GCA_001939145.1	LSRX01001534.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	238.7
OLP88777.1	OLP88777.1_with_leader_u60_PF00081_M_to_K04564_1935	GCA_001939145.1	LSRX01000795.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	443.5
OLP88777.1	OLP88777.1_with_leader_u36_PF00081_M_to_K04564_1935	GCA_001939145.1	LSRX01000795.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	444.0
OLP99006.1	OLP99006.1_with_leader_u58_PF00081_M_to_K04564_1204	GCA_001939145.1	LSRX01000377.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	447.8
BGNK01003376.1_K04564_a3776c6c	BGNK01003376.1_K04564_a3776c6c_with_leader_u60_PF00081_M_to_K04564_198	GCA_003297005.1	BGNK01003376.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	389.6
BGNK01003376.1_K04564_a3776c6c	BGNK01003376.1_K04564_a3776c6c_with_leader_u36_PF00081_M_to_K04564_198	GCA_003297005.1	BGNK01003376.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	390.1
BGNK01003376.1_K04564_a3776c6c	BGNK01003376.1_K04564_a3776c6c_with_leader_u31_PF00081_M_to_K04564_198	GCA_003297005.1	BGNK01003376.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	390.2
BGPT01000358.1_K04564_070be8c8	BGPT01000358.1_K04564_070be8c8_with_leader_u54_PF00081_M_to_K04564_203	GCA_003297045.1	BGPT01000358.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	439.4
BGPT01000358.1_K04564_070be8c8	BGPT01000358.1_K04564_070be8c8_with_leader_u34_PF00081_M_to_K04564_203	GCA_003297045.1	BGPT01000358.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	439.8
BGPT01004387.1_K04564_42ae3337	BGPT01004387.1_K04564_42ae3337_with_leader_u55_PF00081_M_to_K04564_204	GCA_003297045.1	BGPT01004387.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	452.0
BGPT01004387.1_K04564_42ae3337	BGPT01004387.1_K04564_42ae3337_with_leader_u39_PF00081_M_to_K04564_204	GCA_003297045.1	BGPT01004387.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	452.3
CAE7445615.1	CAE7445615.1_with_leader_u54_PF00081_M_to_K04564_242	GCA_905221605.1	CAJNDS010002352.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	215.4
CAE7445615.1	CAE7445615.1_with_leader_u52_PF00081_M_to_K04564_242	GCA_905221605.1	CAJNDS010002352.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	215.4
CAE7445615.1	CAE7445615.1_with_leader_u47_PF00081_M_to_K04564_242	GCA_905221605.1	CAJNDS010002352.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	215.5
CAE7459428.1	CAE7459428.1_with_leader_u39_PF00081_M_to_K04564_401	GCA_905221605.1	CAJNDS010002396.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	428.8
CAJNDS010002352.1_K04564_638e9d57	CAJNDS010002352.1_K04564_638e9d57_with_leader_u31_PF00081_M_to_K04564_176	GCA_905221605.1	CAJNDS010002352.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	164.2
CAJNDS010002544.1_K04564_89a3bd15	CAJNDS010002544.1_K04564_89a3bd15_with_leader_u68_PF00081_M_to_K04564_203	GCA_905221605.1	CAJNDS010002544.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	403.4
CAJNDS010002544.1_K04564_89a3bd15	CAJNDS010002544.1_K04564_89a3bd15_with_leader_u48_PF00081_M_to_K04564_203	GCA_905221605.1	CAJNDS010002544.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	403.8
CAE7848606.1	CAE7848606.1_with_leader_u60_PF00081_M_to_K04564_997	GCA_905231915.1	CAJNJA010052942.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	443.5
CAE7848606.1	CAE7848606.1_with_leader_u36_PF00081_M_to_K04564_997	GCA_905231915.1	CAJNJA010052942.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	444.0
CAJNJA010052942.1_K04564_06e367ea	CAJNJA010052942.1_K04564_06e367ea_with_leader_u60_PF00081_M_to_K04564_198	GCA_905231915.1	CAJNJA010052942.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	393.3
CAJNJA010052942.1_K04564_06e367ea	CAJNJA010052942.1_K04564_06e367ea_with_leader_u36_PF00081_M_to_K04564_198	GCA_905231915.1	CAJNJA010052942.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	393.7
CAL1167723.1	CAL1167723.1_with_leader_u43_PF00081_M_to_K04564_350	GCA_947184155.2	CAMXCT020006312.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	218.4
CAL1168149.1	CAL1168149.1_to_K04564_258	GCA_947184155.2	CAMXCT020006499.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	456.3
CAL1168155.1	CAL1168155.1_to_K04564_293	GCA_947184155.2	CAMXCT020006499.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	456.9
CAMXCT020000001.1_K04564_24b48a7d	CAMXCT020000001.1_K04564_24b48a7d_with_leader_u48_PF00081_M_to_K04564_208	GCA_947184155.2	CAMXCT020000001.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	199.0
CAMXCT020000001.1_K04564_24b48a7d	CAMXCT020000001.1_K04564_24b48a7d_with_leader_u40_PF00081_M_to_K04564_208	GCA_947184155.2	CAMXCT020000001.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	199.1
CAMXCT020000001.1_K04564_24b48a7d	CAMXCT020000001.1_K04564_24b48a7d_with_leader_u26_PF00081_M_to_K04564_208	GCA_947184155.2	CAMXCT020000001.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	199.4
CAMXCT020000624.1_K04564_b4735730	CAMXCT020000624.1_K04564_b4735730_with_leader_u53_PF00081_M_to_K04564_203	GCA_947184155.2	CAMXCT020000624.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	457.5
CAMXCT020006499.1_K04564_88d2492d	CAMXCT020006499.1_K04564_88d2492d_with_leader_u55_PF00081_M_to_K04564_203	GCA_947184155.2	CAMXCT020006499.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	456.4
CAMXCT020006499.1_K04564_c81ee4b4	CAMXCT020006499.1_K04564_c81ee4b4_with_leader_u55_PF00081_M_to_K04564_203	GCA_947184155.2	CAMXCT020006499.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	457.5
CAK9047237.1	CAK9047237.1_with_leader_u27_PF00081_M_to_K04564_344	GCA_963969995.1	CAXAMM010020073.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	163.6
CAXAMM010020073.1_K04564_521e95f5	CAXAMM010020073.1_K04564_521e95f5_with_leader_u27_PF00081_M_to_K04564_197	GCA_963969995.1	CAXAMM010020073.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	161.8
CAXAMM010025685.1_K04564_b43539e3	CAXAMM010025685.1_K04564_b43539e3_with_leader_u30_PF00081_M_to_K04564_92	GCA_963969995.1	CAXAMM010025685.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	67.5
CAXAMM010040162.1_K04564_a70eaf5e	CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u52_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.2
CAXAMM010040162.1_K04564_a70eaf5e	CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u38_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.5
CAXAMM010040162.1_K04564_f9608fa6	CAXAMM010040162.1_K04564_f9608fa6_with_leader_u52_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.2
CAXAMM010040162.1_K04564_f9608fa6	CAXAMM010040162.1_K04564_f9608fa6_with_leader_u38_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.5
CAXAMM010040173.1_K04564_1d3f7085	CAXAMM010040173.1_K04564_1d3f7085_with_leader_u52_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.2
CAXAMM010040173.1_K04564_1d3f7085	CAXAMM010040173.1_K04564_1d3f7085_with_leader_u38_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.5
CAXAMM010040173.1_K04564_b38f776c	CAXAMM010040173.1_K04564_b38f776c_with_leader_u52_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.2
CAXAMM010040173.1_K04564_b38f776c	CAXAMM010040173.1_K04564_b38f776c_with_leader_u38_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.5
CAK9113181.1	CAK9113181.1_to_K04564_257	GCA_963970005.1	CAXAMN010027806.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.1
CAK9113181.1	CAK9113181.1_with_leader_u38_PF00081_M_to_K04564_257	GCA_963970005.1	CAXAMN010027806.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.4
CAK9113185.1	CAK9113185.1_with_leader_u64_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.9
CAK9113185.1	CAK9113185.1_with_leader_u35_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.4
CAXAMN010027783.1_K04564_0f8290bd	CAXAMN010027783.1_K04564_0f8290bd_with_leader_u52_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.2
CAXAMN010027783.1_K04564_0f8290bd	CAXAMN010027783.1_K04564_0f8290bd_with_leader_u38_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.5
CAXAMN010027783.1_K04564_a5ab1868	CAXAMN010027783.1_K04564_a5ab1868_with_leader_u52_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.2
CAXAMN010027783.1_K04564_a5ab1868	CAXAMN010027783.1_K04564_a5ab1868_with_leader_u38_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.5
CAXAMN010027806.1_K04564_b422a675	CAXAMN010027806.1_K04564_b422a675_with_leader_u52_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	true	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.2
CAXAMN010027806.1_K04564_b422a675	CAXAMN010027806.1_K04564_b422a675_with_leader_u38_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	455.5
OZ257276.1_K04564_ace37290	OZ257276.1_K04564_ace37290_with_leader_u60_PF00081_M_to_K04564_198	GCA_965279495.1	OZ257276.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	389.6
OZ257276.1_K04564_ace37290	OZ257276.1_K04564_ace37290_with_leader_u36_PF00081_M_to_K04564_198	GCA_965279495.1	OZ257276.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	390.1
OZ257276.1_K04564_ace37290	OZ257276.1_K04564_ace37290_with_leader_u31_PF00081_M_to_K04564_198	GCA_965279495.1	OZ257276.1	false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	390.2
siderastrea_symb_TRINITY_DN405006_c0_g1_i1.p1	siderastrea_symb_TRINITY_DN405006_c0_g1_i1.p1_with_leader_u54_PF00081_M_to_K04564_280			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.5
siderastrea_symb_TRINITY_DN405006_c0_g1_i1.p1	siderastrea_symb_TRINITY_DN405006_c0_g1_i1.p1_with_leader_u38_PF00081_M_to_K04564_280			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.8
siderastrea_symb_TRINITY_DN405006_c0_g1_i4.p1	siderastrea_symb_TRINITY_DN405006_c0_g1_i4.p1_to_K04564_258			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	448.9
siderastrea_symb_TRINITY_DN405006_c0_g1_i4.p1	siderastrea_symb_TRINITY_DN405006_c0_g1_i4.p1_with_leader_u38_PF00081_M_to_K04564_258			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	449.2
siderastrea_symb_TRINITY_DN475799_c0_g1_i1.p1	siderastrea_symb_TRINITY_DN475799_c0_g1_i1.p1_with_leader_u60_PF00081_M_to_K04564_109			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	68.5
pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1	pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1_to_K04564_250			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	220.9
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i2.p1	pseudodiploria_symb_TRINITY_DN172781_c0_g1_i2.p1_to_K04564_258			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	448.9
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i2.p1	pseudodiploria_symb_TRINITY_DN172781_c0_g1_i2.p1_with_leader_u38_PF00081_M_to_K04564_258			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	449.2
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i4.p1	pseudodiploria_symb_TRINITY_DN172781_c0_g1_i4.p1_to_K04564_260			false	sp_ctp_algae	sp_ctp_MnFeSOD_algae_mature.hmm	454.5
