protein_accession	genome	compartment	KO	evalue	bitscore	bitscore_threshold	query_start	query_end	target_start	target_end	prot_len	leader_len	met_start	has_leader	KO_name
CAE8618037.1	GCA_905237085.1	cytosol	K02981	7.30E-127	424.3	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8618874.1	GCA_905237085.1	cytosol	K02910	1.10E-51	175.8	25.4	1	120	25	147	121	0	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAE8620384.1	GCA_905237085.1	cytosol	K02995	4.00E-94	315.4	41.23	1	203	34	237	204	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE8620413.1	GCA_905237085.1	cytosol	K02873	1.30E-78	265.3	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8621135.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8621226.1	GCA_905237085.1	cytosol	K02991	4.10E-110	369.0	54.6	1	228	24	256	231	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE8621368.1	GCA_905237085.1	cytosol	K02991	4.10E-110	369.0	54.6	1	228	24	256	231	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE8621805.1	GCA_905237085.1	cytosol	K02995	2.50E-94	316.0	41.23	1	203	34	237	204	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE8621905.1	GCA_905237085.1	cytosol	K02930	4.50E-169	564.4	92.3	1	396	100	493	407	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAE8622551.1	GCA_905237085.1	cytosol	K02932	3.70E-128	429.2	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8622987.1	GCA_905237085.1	cytosol	K02981	6.60E-127	424.4	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8624342.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8624343.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8628192.1	GCA_905237085.1	cytosol	K02937	1.70E-103	347.5	98.5	13	282	51	311	282	12	True	False	RP-L7e, RPL7; large subunit ribosomal protein L7e
CAE8628211.1	GCA_905237085.1	cytosol	K02981	7.30E-127	424.3	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8628212.1	GCA_905237085.1	cytosol	K02981	7.30E-127	424.3	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8630124.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8630231.1	GCA_905237085.1	cytosol	K02995	2.50E-94	316.0	41.23	1	203	34	237	204	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE8631794.1	GCA_905237085.1	cytosol	K02995	4.40E-94	315.3	41.23	1	203	34	237	204	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE8631795.1	GCA_905237085.1	cytosol	K02995	4.40E-94	315.3	41.23	1	203	34	237	204	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE8631796.1	GCA_905237085.1	cytosol	K02995	1.20E-93	313.9	41.23	1	203	34	237	204	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE8631797.1	GCA_905237085.1	cytosol	K02995	1.10E-93	313.9	41.23	1	203	34	237	204	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE8632194.1	GCA_905237085.1	cytosol	K02995	6.40E-94	314.7	41.23	1	203	34	237	204	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE8632877.1	GCA_905237085.1	cytosol	K02995	1.10E-93	313.9	41.23	1	203	34	237	204	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE8632878.1	GCA_905237085.1	cytosol	K02995	1.10E-93	313.9	41.23	1	203	34	237	204	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE8634046.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8634047.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8634048.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8634943.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8635022.1	GCA_905237085.1	cytosol	K02910	1.10E-51	175.8	25.4	1	121	25	147	122	0	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAE8635881.1	GCA_905237085.1	cytosol	K02993	2.90E-73	247.8	75	1	191	42	232	193	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAE8636533.1	GCA_905237085.1	cytosol	K02981	7.30E-127	424.3	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8636535.1	GCA_905237085.1	cytosol	K02981	6.30E-127	424.5	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8636538.1	GCA_905237085.1	cytosol	K02981	7.30E-127	424.3	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8636539.1	GCA_905237085.1	cytosol	K02981	7.30E-127	424.3	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8637175.1	GCA_905237085.1	cytosol	K02993	9.20E-73	246.1	75	12	200	44	232	202	11	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAE8637317.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8637706.1	GCA_905237085.1	cytosol	K02873	2.10E-80	271.2	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8637884.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8638541.1	GCA_905237085.1	cytosol	K02930	2.30E-169	565.3	92.3	1	392	100	489	406	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAE8638887.1	GCA_905237085.1	cytosol	K02873	2.80E-81	274.1	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8642038.1	GCA_905237085.1	cytosol	K02960	4.20E-80	269.3	157.47	150	302	30	183	302	149	False	True	RP-S16e, RPS16; small subunit ribosomal protein S16e
CAL1130399.1	GCA_947184155.2	cytosol	K02949	8.60E-83	278.3	156.13	155	323	36	204	579	154	True	True	RP-S11e, RPS11; small subunit ribosomal protein S11e
CAL1131657.1	GCA_947184155.2	cytosol	K02873	8.40E-85	285.7	38.27	3	216	50	253	218	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAL1131658.1	GCA_947184155.2	cytosol	K02873	8.00E-85	285.8	38.27	3	217	50	254	222	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAL1135221.1	GCA_947184155.2	cytosol	K02932	1.10E-124	417.8	152.2	1	307	76	366	312	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAL1135277.1	GCA_947184155.2	cytosol	K02910	5.60E-52	176.7	25.4	3	120	29	147	121	2	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAL1136939.1	GCA_947184155.2	cytosol	K02910	5.30E-52	176.8	25.4	3	131	29	158	396	2	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAL1137694.1	GCA_947184155.2	cytosol	K02997	9.10E-98	328.3	172.63	6	179	27	199	741	5	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAL1138413.1	GCA_947184155.2	cytosol	K02995	2.40E-94	316.1	41.23	180	393	26	237	394	179	True	True	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAL1140890.1	GCA_947184155.2	cytosol	K02991	3.00E-106	356.3	54.6	1	230	24	256	233	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAL1142634.1	GCA_947184155.2	cytosol	K02985	5.80E-142	474.7	165.43	174	449	35	308	478	173	False	True	RP-S3e, RPS3; small subunit ribosomal protein S3e
CAL1143737.1	GCA_947184155.2	cytosol	K02866	3.60E-106	355.8	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAL1145175.1	GCA_947184155.2	cytosol	K02985	1.20E-141	473.6	165.43	378	654	34	308	687	377	True	True	RP-S3e, RPS3; small subunit ribosomal protein S3e
CAL1145190.1	GCA_947184155.2	cytosol	K02981	1.20E-122	410.4	250.33	196	450	54	309	720	195	True	True	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAL1145602.1	GCA_947184155.2	cytosol	K02995	5.00E-89	298.7	41.23	71	271	26	224	593	70	True	True	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAL1149998.1	GCA_947184155.2	cytosol	K02910	2.80E-53	181.0	25.4	824	945	27	147	946	823	True	True	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAL1157918.1	GCA_947184155.2	cytosol	K02873	6.80E-85	286.0	38.27	3	215	50	252	219	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAL1158176.1	GCA_947184155.2	cytosol	K02991	1.70E-110	370.2	54.6	1	229	24	255	236	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAL1162863.1	GCA_947184155.2	cytosol	K02991	1.70E-110	370.2	54.6	1	229	24	255	236	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAL1165714.1	GCA_947184155.2	cytosol	K02995	2.30E-96	322.7	41.23	1	206	34	237	207	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAL1167182.1	GCA_947184155.2	cytosol	K02981	1.20E-124	416.9	250.33	66	317	56	309	329	65	True	True	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAL1167183.1	GCA_947184155.2	cytosol	K02981	1.70E-124	416.5	250.33	66	317	56	309	321	65	True	True	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAL1168831.1	GCA_947184155.2	cytosol	K02993	2.80E-70	238.0	75	1	250	42	293	535	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAL1168834.1	GCA_947184155.2	cytosol	K02993	5.20E-71	240.3	75	1	191	42	232	193	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAL1171331.1	GCA_947184155.2	cytosol	K02930	3.40E-167	558.2	92.3	1	402	100	493	410	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK8986483.1	GCA_963969995.1	cytosol	K02993	4.10E-50	171.7	75	1	174	42	232	176	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAK8986839.1	GCA_963969995.1	cytosol	K02873	1.40E-81	275.1	38.27	3	216	50	253	218	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAK8986892.1	GCA_963969995.1	cytosol	K02873	1.40E-81	275.1	38.27	3	216	50	253	218	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAK8988569.1	GCA_963969995.1	cytosol	K02995	8.30E-96	320.9	41.23	1	206	34	237	207	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAK8993712.1	GCA_963969995.1	cytosol	K02866	2.40E-108	363.0	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAK8993761.1	GCA_963969995.1	cytosol	K02866	2.40E-108	363.0	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAK9001230.1	GCA_963969995.1	cytosol	K02910	9.60E-47	159.7	25.4	1	153	25	147	154	0	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAK9001482.1	GCA_963969995.1	cytosol	K02866	2.40E-108	363.0	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAK9001588.1	GCA_963969995.1	cytosol	K02910	6.60E-53	179.8	25.4	1	120	25	147	121	0	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAK9004710.1	GCA_963969995.1	cytosol	K02930	4.60E-159	531.3	92.3	1	410	100	495	418	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004738.1	GCA_963969995.1	cytosol	K02930	2.30E-162	542.2	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004740.1	GCA_963969995.1	cytosol	K02930	2.10E-161	539.1	92.3	1	403	100	494	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004742.1	GCA_963969995.1	cytosol	K02930	2.20E-161	539.0	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004744.1	GCA_963969995.1	cytosol	K02930	2.10E-162	542.4	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004745.1	GCA_963969995.1	cytosol	K02930	2.40E-161	538.9	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004746.1	GCA_963969995.1	cytosol	K02930	2.40E-161	538.9	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004747.1	GCA_963969995.1	cytosol	K02930	5.40E-161	537.7	92.3	1	403	100	494	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004748.1	GCA_963969995.1	cytosol	K02930	9.60E-162	540.2	92.3	1	403	100	494	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004749.1	GCA_963969995.1	cytosol	K02930	2.40E-161	538.9	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004751.1	GCA_963969995.1	cytosol	K02930	2.30E-162	542.2	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004752.1	GCA_963969995.1	cytosol	K02930	2.40E-161	538.9	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004753.1	GCA_963969995.1	cytosol	K02930	9.60E-161	536.9	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004754.1	GCA_963969995.1	cytosol	K02930	2.30E-162	542.2	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004755.1	GCA_963969995.1	cytosol	K02930	2.30E-162	542.2	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9004756.1	GCA_963969995.1	cytosol	K02930	2.30E-162	542.2	92.3	1	402	100	493	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9005457.1	GCA_963969995.1	cytosol	K02981	1.50E-124	416.6	250.33	7	253	61	309	258	6	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAK9005458.1	GCA_963969995.1	cytosol	K02981	1.70E-124	416.5	250.33	5	251	61	309	256	4	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAK9006263.1	GCA_963969995.1	cytosol	K02993	8.20E-81	272.6	75	433	650	20	233	652	432	True	True	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAK9007097.1	GCA_963969995.1	cytosol	K02995	3.20E-64	217.4	41.23	1	203	34	223	214	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAK9021568.1	GCA_963969995.1	cytosol	K02966	9.70E-69	232.0	53.53	8	167	39	198	184	7	True	False	RP-S19e, RPS19; small subunit ribosomal protein S19e
CAK9022998.1	GCA_963969995.1	cytosol	K02873	6.40E-85	286.1	38.27	3	216	50	253	218	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAK9027274.1	GCA_963969995.1	cytosol	K02905	4.90E-20	73.1	39.97	27	98	17	83	105	26	False	True	RP-L29e, RPL29; large subunit ribosomal protein L29e
CAK9034812.1	GCA_963969995.1	cytosol	K02997	1.00E-104	351.1	172.63	6	191	27	211	192	5	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAK9057716.1	GCA_963969995.1	cytosol	K02932	5.30E-128	428.7	152.2	1	307	76	366	312	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAK9092461.1	GCA_963969995.1	cytosol	K02991	1.10E-111	374.2	54.6	1	230	24	256	236	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAK9092663.1	GCA_963969995.1	cytosol	K02995	1.40E-94	316.9	41.23	1	206	34	237	207	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAK9093393.1	GCA_963969995.1	cytosol	K02995	1.40E-94	316.9	41.23	1	206	34	237	207	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAK9097345.1	GCA_963969995.1	cytosol	K02873	9.60E-82	275.6	38.27	3	216	50	253	218	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAK9103220.1	GCA_963969995.1	cytosol	K02910	9.40E-52	176.0	25.4	3	120	29	147	121	2	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAK9103304.1	GCA_963969995.1	cytosol	K02910	9.40E-52	176.0	25.4	3	120	29	147	121	2	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAK9108212.1	GCA_963969995.1	cytosol	K02866	2.40E-108	363.0	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAK9108214.1	GCA_963969995.1	cytosol	K02866	4.40E-103	345.7	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAK9110739.1	GCA_963969995.1	cytosol	K02981	8.10E-126	420.8	250.33	58	335	45	309	340	57	True	True	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAK8986133.1	GCA_963970005.1	cytosol	K02995	8.30E-96	320.9	41.23	1	206	34	237	207	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAK8987554.1	GCA_963970005.1	cytosol	K02991	1.10E-111	374.2	54.6	1	230	24	256	236	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAK8996820.1	GCA_963970005.1	cytosol	K02866	8.80E-110	367.7	95.23	129	348	37	258	356	128	True	True	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAK8996862.1	GCA_963970005.1	cytosol	K02866	2.40E-108	363.0	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAK9003451.1	GCA_963970005.1	cytosol	K02995	5.60E-65	219.9	41.23	1	160	34	191	180	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAK9004129.1	GCA_963970005.1	cytosol	K02995	1.40E-94	316.9	41.23	1	206	34	237	207	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAK9013230.1	GCA_963970005.1	cytosol	K02930	4.00E-161	538.1	92.3	1	426	100	504	460	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9013232.1	GCA_963970005.1	cytosol	K02930	2.00E-162	542.4	92.3	1	403	100	494	409	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9013234.1	GCA_963970005.1	cytosol	K02930	2.40E-163	545.5	92.3	1	409	100	500	770	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9024527.1	GCA_963970005.1	cytosol	K02932	5.30E-128	428.7	152.2	1	307	76	366	312	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAK9035880.1	GCA_963970005.1	cytosol	K02960	3.80E-82	276.0	157.47	21	184	22	183	184	20	True	True	RP-S16e, RPS16; small subunit ribosomal protein S16e
CAK9043003.1	GCA_963970005.1	cytosol	K02866	2.40E-108	363.0	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAK9045743.1	GCA_963970005.1	cytosol	K02932	3.40E-127	426.1	152.2	1	307	76	366	312	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAK9053208.1	GCA_963970005.1	cytosol	K02981	8.10E-126	420.8	250.33	58	335	45	309	340	57	True	True	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAK9055314.1	GCA_963970005.1	cytosol	K02981	3.50E-124	415.4	250.33	4	256	56	309	261	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAK9055315.1	GCA_963970005.1	cytosol	K02981	3.50E-124	415.4	250.33	4	256	56	309	261	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAK9069876.1	GCA_963970005.1	cytosol	K02981	1.70E-124	416.5	250.33	5	251	61	309	256	4	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAK9069878.1	GCA_963970005.1	cytosol	K02981	1.50E-124	416.6	250.33	7	253	61	309	258	6	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAK9071493.1	GCA_963970005.1	cytosol	K02873	1.20E-82	278.6	38.27	4	274	51	253	276	3	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAK9074141.1	GCA_963970005.1	cytosol	K02910	2.40E-55	187.7	25.4	54	182	16	147	183	53	True	True	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAK9074399.1	GCA_963970005.1	cytosol	K02910	2.40E-29	103.0	25.4	54	146	16	110	236	53	True	True	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAK9076821.1	GCA_963970005.1	cytosol	K02910	9.40E-52	176.0	25.4	3	120	29	147	121	2	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAK9080600.1	GCA_963970005.1	cytosol	K02966	5.10E-65	219.9	53.53	371	543	40	201	634	370	True	True	RP-S19e, RPS19; small subunit ribosomal protein S19e
CAK9088572.1	GCA_963970005.1	cytosol	K02995	2.10E-92	309.8	41.23	1	208	34	238	209	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAK9094360.1	GCA_963970005.1	cytosol	K02930	4.60E-163	544.5	92.3	1	407	100	498	711	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9094361.1	GCA_963970005.1	cytosol	K02930	4.60E-163	544.5	92.3	1	407	100	498	711	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9094362.1	GCA_963970005.1	cytosol	K02930	4.60E-163	544.5	92.3	1	407	100	498	711	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAK9104151.1	GCA_963970005.1	cytosol	K02873	9.60E-82	275.6	38.27	3	216	50	253	218	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAK9118694.1	GCA_963970005.1	cytosol	K02995	8.30E-96	320.9	41.23	1	206	34	237	207	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
OLP76846.1	GCA_001939145.1	mitochondrion	K01682	0	1432.6	585.67	327	1172	5	846	1278	326	True	True	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
OLP80981.1	GCA_001939145.1	mitochondrion	K00030	1.60E-107	360.7	419.97	215	611	73	420	1167	214	True	True	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
OLP82657.1	GCA_001939145.1	mitochondrion	K02115	3.20E-87	293.7	245.57	43	378	68	356	460	42	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
OLP82667.1	GCA_001939145.1	mitochondrion	K02115	5.00E-87	293.1	245.57	127	462	68	356	517	126	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
OLP86456.1	GCA_001939145.1	mitochondrion	K02136	5.00E-92	309.9	317.53	807	1130	61	362	1131	806	True	True	ATPeF1G, ATP5C1, ATP3; F-type H+-transporting ATPase subunit gamma
OLP93518.1	GCA_001939145.1	mitochondrion	K00026	2.40E-135	452.7	503.17	125	519	53	396	1154	124	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
OLP94745.1	GCA_001939145.1	mitochondrion	K02114	2.00E-32	113.2	93.63	1039	1207	42	206	1213	1038	True	True	ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon
OLP95725.1	GCA_001939145.1	mitochondrion	K02115	2.00E-85	287.8	245.57	123	541	64	357	1786	122	True	True	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
OLP99646.1	GCA_001939145.1	mitochondrion	K00234	0	1132.0	1154.5	67	680	136	765	1911	66	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
OLQ01740.1	GCA_001939145.1	mitochondrion	K02132	8.60E-291	966.7	988.73	54	580	82	603	589	53	True	True	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
OLQ13841.1	GCA_001939145.1	mitochondrion	K00026	2.10E-133	446.4	503.17	5	331	80	396	882	4	True	False	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAE6917623.1	GCA_905221605.1	mitochondrion	K00234	0	1129.2	1154.5	30	626	137	749	626	29	True	True	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
CAE7034163.1	GCA_905221605.1	mitochondrion	K02132	3.00E-289	961.6	988.73	8	526	91	603	535	7	True	False	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
CAE7040342.1	GCA_905221605.1	mitochondrion	K01682	0	1467.4	585.67	36	882	5	847	889	35	True	True	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
CAE7238264.1	GCA_905221605.1	mitochondrion	K00026	7.00E-129	431.4	503.17	19	339	80	392	344	18	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAE7252427.1	GCA_905221605.1	mitochondrion	K01682	0	1441.5	585.67	38	883	5	846	894	37	True	True	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
CAE7354454.1	GCA_905221605.1	mitochondrion	K00658	3.60E-110	370.4	455.03	315	651	75	379	680	314	True	True	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
CAE7380557.1	GCA_905221605.1	mitochondrion	K01647	1.20E-109	368.3	411.8	251	671	80	448	698	250	True	True	CS, gltA; citrate synthase [EC:2.3.3.1]
CAE7452293.1	GCA_905221605.1	mitochondrion	K00026	4.60E-131	438.6	503.17	25	352	70	392	353	24	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
CAE7574529.1	GCA_905221605.1	mitochondrion	K00026	1.10E-130	437.3	503.17	293	620	79	395	1177	292	True	True	MDH2; malate dehydrogenase [EC:1.1.1.37]
