protein accession	sequence accession	genome accession	contig accession	pass all	Leader().upstreamOfPfam('PF00081').betweenAA(-70, -15)	HMMAlignment('algae_sod2_sp_ctp_leader.hmm').spans(3, 50).between(1, 60)	Pfam.matches('PF00081')	Pfam.matches('PF02777')	KO.matches('K04564', bound_cterm=True)	HMMAlignment('k04564.hmm').is_at('H', 61)	HMMAlignment('k04564.hmm').is_at('H', 106)	HMMAlignment('k04564.hmm').is_at('D', 187)	HMMAlignment('k04564.hmm').is_at('H', 191)	HMMAlignment('k04564.hmm').matches_regex('[QDK]', 196)
cladocopium_proliferum_ss27_TRINITY_DN29038_c0_g1_i1.p2	cladocopium_proliferum_ss27_TRINITY_DN29038_c0_g1_i1.p2_with_leader_u42_PF00081_M_to_K04564_265			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_ss27_TRINITY_DN29038_c0_g2_i1.p1	cladocopium_proliferum_ss27_TRINITY_DN29038_c0_g2_i1.p1_with_leader_u42_PF00081_M_to_K04564_248			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_ss27_TRINITY_DN57230_c0_g1_i1.p1	cladocopium_proliferum_ss27_TRINITY_DN57230_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_244			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_ss27_TRINITY_DN70772_c0_g2_i1.p1	cladocopium_proliferum_ss27_TRINITY_DN70772_c0_g2_i1.p1_with_leader_u36_PF00081_M_to_K04564_262			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_ss27_TRINITY_DN76687_c0_g1_i1.p1	cladocopium_proliferum_ss27_TRINITY_DN76687_c0_g1_i1.p1_with_leader_u55_PF00081_M_to_K04564_258			true	true	true	true	true	true	true	true	true	true	true
cladocopium_proliferum_ss31_TRINITY_DN65052_c0_g1_i1.p1	cladocopium_proliferum_ss31_TRINITY_DN65052_c0_g1_i1.p1_with_leader_u36_PF00081_M_to_K04564_251			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_ss31_TRINITY_DN71358_c0_g1_i4.p1	cladocopium_proliferum_ss31_TRINITY_DN71358_c0_g1_i4.p1_with_leader_u55_PF00081_M_to_K04564_258			true	true	true	true	true	true	true	true	true	true	true
cladocopium_proliferum_wt27_TRINITY_DN75186_c0_g1_i1.p1	cladocopium_proliferum_wt27_TRINITY_DN75186_c0_g1_i1.p1_with_leader_u36_PF00081_M_to_K04564_263			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_wt31_TRINITY_DN60502_c0_g1_i1.p1	cladocopium_proliferum_wt31_TRINITY_DN60502_c0_g1_i1.p1_with_leader_u30_PF00081_M_to_K04564_256			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_wt31_TRINITY_DN61048_c0_g1_i2.p1	cladocopium_proliferum_wt31_TRINITY_DN61048_c0_g1_i2.p1_with_leader_u17_PF00081_M_to_K04564_245			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_wt31_TRINITY_DN83562_c0_g3_i1.p1	cladocopium_proliferum_wt31_TRINITY_DN83562_c0_g3_i1.p1_with_leader_u36_PF00081_M_to_K04564_257			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_wt31_TRINITY_DN89382_c0_g1_i1.p1	cladocopium_proliferum_wt31_TRINITY_DN89382_c0_g1_i1.p1_with_leader_u55_PF00081_M_to_K04564_258			true	true	true	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN22061_c0_g1_i1.p1	durusdinium_trenchii_TRINITY_DN22061_c0_g1_i1.p1_with_leader_u21_PF00081_M_to_K04564_256			false	true	false	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN126028_c0_g1_i1.p2	durusdinium_trenchii_TRINITY_DN126028_c0_g1_i1.p2_with_leader_u43_PF00081_M_to_K04564_244			false	true	false	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN126028_c0_g1_i1.p2	durusdinium_trenchii_TRINITY_DN126028_c0_g1_i1.p2_with_leader_u19_PF00081_M_to_K04564_244			false	true	false	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN152488_c1_g1_i1.p1	durusdinium_trenchii_TRINITY_DN152488_c1_g1_i1.p1_with_leader_u52_PF00081_M_to_K04564_277			true	true	true	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN152488_c1_g1_i1.p1	durusdinium_trenchii_TRINITY_DN152488_c1_g1_i1.p1_with_leader_u38_PF00081_M_to_K04564_277			false	true	false	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN152488_c1_g1_i1.p1	durusdinium_trenchii_TRINITY_DN152488_c1_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_277			false	true	false	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN155815_c0_g2_i1.p1	durusdinium_trenchii_TRINITY_DN155815_c0_g2_i1.p1_with_leader_u32_PF00081_M_to_K04564_245			false	true	false	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN160370_c0_g1_i1.p1	durusdinium_trenchii_TRINITY_DN160370_c0_g1_i1.p1_with_leader_u26_PF00081_M_to_K04564_222			false	true	false	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN160635_c0_g1_i1.p1	durusdinium_trenchii_TRINITY_DN160635_c0_g1_i1.p1_with_leader_u52_PF00081_M_to_K04564_277			true	true	true	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN160635_c0_g1_i1.p1	durusdinium_trenchii_TRINITY_DN160635_c0_g1_i1.p1_with_leader_u38_PF00081_M_to_K04564_277			false	true	false	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN160635_c0_g1_i1.p1	durusdinium_trenchii_TRINITY_DN160635_c0_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_277			false	true	false	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN160635_c0_g1_i2.p1	durusdinium_trenchii_TRINITY_DN160635_c0_g1_i2.p1_with_leader_u52_PF00081_M_to_K04564_277			true	true	true	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN160635_c0_g1_i2.p1	durusdinium_trenchii_TRINITY_DN160635_c0_g1_i2.p1_with_leader_u38_PF00081_M_to_K04564_277			false	true	false	true	true	true	true	true	true	true	true
durusdinium_trenchii_TRINITY_DN160635_c0_g1_i2.p1	durusdinium_trenchii_TRINITY_DN160635_c0_g1_i2.p1_with_leader_u18_PF00081_M_to_K04564_277			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_ex_TRINITY_DN5632_c0_g1_i3.p1	prorocentrum_cordatum_20_ex_TRINITY_DN5632_c0_g1_i3.p1_with_leader_u60_PF00081_M_to_K04564_285			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_ex_TRINITY_DN5632_c0_g1_i4.p1	prorocentrum_cordatum_20_ex_TRINITY_DN5632_c0_g1_i4.p1_with_leader_u60_PF00081_M_to_K04564_258			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_ex_TRINITY_DN5632_c0_g1_i8.p1	prorocentrum_cordatum_20_ex_TRINITY_DN5632_c0_g1_i8.p1_with_leader_u60_PF00081_M_to_K04564_264			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_ex_TRINITY_DN5632_c0_g1_i9.p1	prorocentrum_cordatum_20_ex_TRINITY_DN5632_c0_g1_i9.p1_with_leader_u60_PF00081_M_to_K04564_264			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_ex_TRINITY_DN11657_c0_g1_i1.p1	prorocentrum_cordatum_20_ex_TRINITY_DN11657_c0_g1_i1.p1_with_leader_u58_PF00081_M_to_K04564_294			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_ex_TRINITY_DN11657_c0_g1_i3.p1	prorocentrum_cordatum_20_ex_TRINITY_DN11657_c0_g1_i3.p1_with_leader_u58_PF00081_M_to_K04564_293			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i1.p1	prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_281			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i4.p1	prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i4.p1_with_leader_u18_PF00081_M_to_K04564_238			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i5.p1	prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i5.p1_with_leader_u18_PF00081_M_to_K04564_258			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_st_TRINITY_DN3050_c0_g1_i10.p1	prorocentrum_cordatum_20_st_TRINITY_DN3050_c0_g1_i10.p1_with_leader_u60_PF00081_M_to_K04564_256			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_st_TRINITY_DN3050_c0_g1_i2.p1	prorocentrum_cordatum_20_st_TRINITY_DN3050_c0_g1_i2.p1_with_leader_u60_PF00081_M_to_K04564_283			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_st_TRINITY_DN3050_c0_g1_i4.p1	prorocentrum_cordatum_20_st_TRINITY_DN3050_c0_g1_i4.p1_with_leader_u60_PF00081_M_to_K04564_289			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_st_TRINITY_DN3050_c0_g1_i5.p1	prorocentrum_cordatum_20_st_TRINITY_DN3050_c0_g1_i5.p1_with_leader_u60_PF00081_M_to_K04564_289			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_st_TRINITY_DN3050_c0_g1_i7.p1	prorocentrum_cordatum_20_st_TRINITY_DN3050_c0_g1_i7.p1_with_leader_u60_PF00081_M_to_K04564_289			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_st_TRINITY_DN3050_c1_g1_i1.p1	prorocentrum_cordatum_20_st_TRINITY_DN3050_c1_g1_i1.p1_with_leader_u58_PF00081_M_to_K04564_291			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_st_TRINITY_DN3050_c1_g1_i2.p1	prorocentrum_cordatum_20_st_TRINITY_DN3050_c1_g1_i2.p1_with_leader_u58_PF00081_M_to_K04564_292			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_st_TRINITY_DN3050_c1_g1_i3.p1	prorocentrum_cordatum_20_st_TRINITY_DN3050_c1_g1_i3.p1_with_leader_u58_PF00081_M_to_K04564_291			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_20_st_TRINITY_DN21937_c0_g3_i1.p2	prorocentrum_cordatum_20_st_TRINITY_DN21937_c0_g3_i1.p2_with_leader_u18_PF00081_M_to_K04564_260			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i1.p1	prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i1.p1_with_leader_u58_PF00081_M_to_K04564_320			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i2.p1	prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i2.p1_with_leader_u60_PF00081_M_to_K04564_284			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i4.p1	prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i4.p1_with_leader_u60_PF00081_M_to_K04564_284			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i5.p1	prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i5.p1_with_leader_u60_PF00081_M_to_K04564_289			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i6.p1	prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i6.p1_with_leader_u60_PF00081_M_to_K04564_289			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i7.p1	prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i7.p1_with_leader_u58_PF00081_M_to_K04564_264			false	true	true	true	true	true	true	true	false	false	false
prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i8.p1	prorocentrum_cordatum_26_ex_TRINITY_DN563_c1_g1_i8.p1_with_leader_u60_PF00081_M_to_K04564_284			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_ex_TRINITY_DN18142_c0_g1_i1.p1	prorocentrum_cordatum_26_ex_TRINITY_DN18142_c0_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_259			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i1.p1	prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i1.p1_with_leader_u60_PF00081_M_to_K04564_264			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i12.p1	prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i12.p1_with_leader_u58_PF00081_M_to_K04564_286			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i3.p1	prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i3.p1_with_leader_u60_PF00081_M_to_K04564_255			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i4.p1	prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i4.p1_with_leader_u60_PF00081_M_to_K04564_282			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i5.p1	prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i5.p1_with_leader_u58_PF00081_M_to_K04564_286			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i9.p1	prorocentrum_cordatum_26_st_TRINITY_DN2417_c0_g1_i9.p1_with_leader_u60_PF00081_M_to_K04564_264			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_26_st_TRINITY_DN46994_c0_g1_i1.p2	prorocentrum_cordatum_26_st_TRINITY_DN46994_c0_g1_i1.p2_with_leader_u18_PF00081_M_to_K04564_261			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g2_i2.p1	prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g2_i2.p1_with_leader_u60_PF00081_M_to_K04564_282			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g2_i3.p1	prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g2_i3.p1_with_leader_u60_PF00081_M_to_K04564_255			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g2_i5.p1	prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g2_i5.p1_with_leader_u60_PF00081_M_to_K04564_282			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g2_i6.p1	prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g2_i6.p1_with_leader_u60_PF00081_M_to_K04564_282			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g1_i2.p1	prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g1_i2.p1_with_leader_u58_PF00081_M_to_K04564_312			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g1_i6.p1	prorocentrum_cordatum_30_ex_TRINITY_DN8231_c0_g1_i6.p1_with_leader_u58_PF00081_M_to_K04564_311			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_st_TRINITY_DN1586_c0_g1_i10.p1	prorocentrum_cordatum_30_st_TRINITY_DN1586_c0_g1_i10.p1_with_leader_u60_PF00081_M_to_K04564_281			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_st_TRINITY_DN1586_c0_g1_i12.p1	prorocentrum_cordatum_30_st_TRINITY_DN1586_c0_g1_i12.p1_with_leader_u60_PF00081_M_to_K04564_288			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_st_TRINITY_DN1586_c0_g1_i7.p1	prorocentrum_cordatum_30_st_TRINITY_DN1586_c0_g1_i7.p1_with_leader_u60_PF00081_M_to_K04564_288			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_st_TRINITY_DN1586_c0_g1_i9.p1	prorocentrum_cordatum_30_st_TRINITY_DN1586_c0_g1_i9.p1_with_leader_u60_PF00081_M_to_K04564_254			false	true	false	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_st_TRINITY_DN2557_c0_g1_i1.p1	prorocentrum_cordatum_30_st_TRINITY_DN2557_c0_g1_i1.p1_with_leader_u58_PF00081_M_to_K04564_291			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_st_TRINITY_DN2557_c0_g1_i2.p1	prorocentrum_cordatum_30_st_TRINITY_DN2557_c0_g1_i2.p1_with_leader_u58_PF00081_M_to_K04564_292			true	true	true	true	true	true	true	true	true	true	true
prorocentrum_cordatum_30_st_TRINITY_DN3926_c0_g1_i1.p1	prorocentrum_cordatum_30_st_TRINITY_DN3926_c0_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_260			false	true	false	true	true	true	true	true	true	true	true
