threshold bitscore	tp	fp	tn	fn	sensitivity	specificity	balanced accuracy	selected
# XP_048589696.1       -            666 p105-like_cnidaria   -            910     3e-18   57.7   0.1   2   2   1.8e-12   1.9e-12   38.5   0.0   231   373   378   516   366   522 0.86 -
# XP_048589695.1       -            668 p105-like_cnidaria   -            910     3e-18   57.7   0.1   1   2     6e-06   6.5e-06   16.9   0.1    37   119   241   315   227   358 0.78 -
# XP_048589695.1       -            668 p105-like_cnidaria   -            910     3e-18   57.7   0.1   2   2   1.8e-12   1.9e-12   38.5   0.0   231   373   380   518   368   524 0.86 -
# XP_048589694.1       -            674 p105-like_cnidaria   -            910   3.1e-18   57.7   0.1   1   2     6e-06   6.6e-06   16.9   0.1    37   119   247   321   233   364 0.78 -
# XP_048589694.1       -            674 p105-like_cnidaria   -            910   3.1e-18   57.7   0.1   2   2   1.8e-12     2e-12   38.4   0.0   231   373   386   524   374   530 0.86 -
# XP_048589693.1       -            676 p105-like_cnidaria   -            910   3.1e-18   57.6   0.1   1   2   6.1e-06   6.6e-06   16.8   0.1    37   119   249   323   235   366 0.78 -
# XP_048589693.1       -            676 p105-like_cnidaria   -            910   3.1e-18   57.6   0.1   2   2   1.8e-12     2e-12   38.4   0.0   231   373   388   526   376   532 0.86 -
# XP_020604581.1       -            683 p105-like_cnidaria   -            910   1.1e-17   55.8   0.1   1   2   1.8e-05     2e-05   15.3   0.1    39   145   281   391   272   407 0.75 -
# XP_020604581.1       -            683 p105-like_cnidaria   -            910   1.1e-17   55.8   0.1   2   2     2e-12   2.2e-12   38.3   0.0   231   373   418   556   406   561 0.85 -
# XP_020604580.1       -            684 p105-like_cnidaria   -            910   1.1e-17   55.8   0.1   1   2   1.8e-05     2e-05   15.3   0.1    39   145   282   392   273   408 0.75 -
# XP_020604580.1       -            684 p105-like_cnidaria   -            910   1.1e-17   55.8   0.1   2   2     2e-12   2.2e-12   38.3   0.0   231   373   419   557   407   562 0.85 -
# XP_020604579.1       -            704 p105-like_cnidaria   -            910   1.2e-17   55.7   0.1   1   2   1.9e-05   2.1e-05   15.2   0.1    39   145   302   412   293   428 0.75 -
# XP_020604579.1       -            704 p105-like_cnidaria   -            910   1.2e-17   55.7   0.1   2   2   2.1e-12   2.3e-12   38.2   0.0   231   373   439   577   427   582 0.85 -
# XP_020604578.1       -            705 p105-like_cnidaria   -            910   1.2e-17   55.7   0.1   1   2   1.9e-05   2.1e-05   15.2   0.1    39   145   303   413   294   429 0.75 -
# XP_020604578.1       -            705 p105-like_cnidaria   -            910   1.2e-17   55.7   0.1   2   2   2.1e-12   2.3e-12   38.2   0.0   231   373   440   578   428   583 0.85 -
# XP_029188003.1       -            702 p105-like_cnidaria   -            910   5.8e-17   53.4   0.1   1   2   2.6e-06   2.9e-06   18.1   0.1    39   146   292   403   280   424 0.77 -
# XP_029188003.1       -            702 p105-like_cnidaria   -            910   5.8e-17   53.4   0.1   2   2   7.5e-11   8.2e-11   33.1   0.0   231   373   429   567   423   574 0.86 -
# KAK3696731.1         -            687 p105-like_cnidaria   -            910   5.9e-17   53.4   0.1   1   2   3.7e-09     4e-09   27.5   0.2    37   145   276   388   260   412 0.72 -
# KAK3696731.1         -            687 p105-like_cnidaria   -            910   5.9e-17   53.4   0.1   2   2   4.8e-08   5.2e-08   23.8   0.0   231   373   415   547   399   550 0.85 -
# XP_031575150.1       -            693 p105-like_cnidaria   -            910   2.4e-14   44.8   0.2   1   2   3.2e-06   3.5e-06   17.8   0.2    40   144   287   395   273   409 0.70 -
# XP_031575150.1       -            693 p105-like_cnidaria   -            910   2.4e-14   44.8   0.2   2   2   3.2e-08   3.5e-08   24.4   0.0   231   373   423   563   414   568 0.84 -
# XP_031575149.1       -            695 p105-like_cnidaria   -            910   2.4e-14   44.8   0.2   1   2   3.3e-06   3.6e-06   17.7   0.2    40   144   289   397   275   411 0.70 -
# XP_031575149.1       -            695 p105-like_cnidaria   -            910   2.4e-14   44.8   0.2   2   2   3.4e-08   3.7e-08   24.3   0.0   231   373   425   565   419   570 0.84 -
# KAK2555979.1         -            672 p105-like_cnidaria   -            910   2.1e-13   41.6   0.6   1   2   2.8e-06   3.1e-06   18.0   0.1    39   146   292   403   281   429 0.77 -
# KAK2555979.1         -            672 p105-like_cnidaria   -            910   2.1e-13   41.6   0.6   2   2   1.5e-07   1.7e-07   22.1   0.0   312   373   505   567   423   574 0.69 -
# XP_073252887.1       -            567 p105-like_cnidaria   -            910   1.3e-09   29.2   0.0   1   2   3.2e-07   3.5e-07   21.1   0.3    38   145   308   419   300   432 0.75 -
# XP_073252887.1       -            567 p105-like_cnidaria   -            910   1.3e-09   29.2   0.0   2   2     0.021     0.023    5.1   0.0   231   317   446   527   440   544 0.76 -
# CAB3983723.1         -            558 p105-like_cnidaria   -            910   2.2e-09   28.4   0.0   1   2   0.00011   0.00012   12.7   0.0    43   142   172   275   163   294 0.73 -
# CAB3983723.1         -            558 p105-like_cnidaria   -            910   2.2e-09   28.4   0.0   2   2   6.4e-05   6.9e-05   13.5   0.0   257   372   326   437   318   445 0.81 -
# CAB3983726.1         -            421 p105-like_cnidaria   -            910   2.1e-05   15.2   0.0   1   2   6.6e-05   7.2e-05   13.4   0.0    43   142   172   275   163   294 0.73 -
# CAB3983726.1         -            421 p105-like_cnidaria   -            910   2.1e-05   15.2   0.0   2   2         2       2.2   -1.4   0.0   257   322   326   388   321   400 0.75 -
# CAB3983725.1         -            408 p105-like_cnidaria   -            910   3.2e-05   14.6   0.0   1   2   6.2e-05   6.7e-05   13.5   0.0    43   142   172   275   163   295 0.73 -
# CAB3983725.1         -            408 p105-like_cnidaria   -            910   3.2e-05   14.6   0.0   2   2       9.1        10   -3.6   0.0   258   304   327   371   323   373 0.76 -
# CAB3983724.1         -            417 p105-like_cnidaria   -            910   3.4e-05   14.5   0.0   1   2   6.4e-05     7e-05   13.5   0.0    43   142   172   275   163   295 0.73 -
# CAB3983724.1         -            417 p105-like_cnidaria   -            910   3.4e-05   14.5   0.0   2   2       9.4        10   -3.6   0.0   258   304   327   371   323   373 0.76 -
# #
# # Program:         hmmsearch
# # Version:         3.4 (Aug 2023)
# # Pipeline mode:   SEARCH
# # Query file:      p105-like_cnidaria.hmm
# # Target file:     /var/folders/2h/747pycqs10j0vwjlyhhnkthr0000gn/T/tmpcqn8eaqb/all.faa
# # Option settings: hmmsearch --domtblout /var/folders/2h/747pycqs10j0vwjlyhhnkthr0000gn/T/tmpcqn8eaqb/hmmsearch.domtblout p105-like_cnidaria.hmm /var/folders/2h/747pycqs10j0vwjlyhhnkthr0000gn/T/tmpcqn8eaqb/all.faa 
# # Current dir:     /Users/benjie/git/tangle/coral/notes/nfkb
# # Date:            Wed Sep 16 16:17:50 2026
# # [ok]
