model	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K04434	673.03	domain	all	0.943635	700	675	4500	870	2.55	0.590	mitogen-activated protein kinase 8 interacting protein 1
K04435	811.27	full	all	0.996656	454	449	4449	1147	1.10	0.591	mitogen-activated protein kinase 8 interacting protein 2
K04436	1971.87	full	all	0.984376	501	491	2965	1422	0.93	0.590	mitogen-activated protein kinase 8 interacting protein 3
K04437	1835.50	domain	all	0.599154	1163	1145	29244	2391	3.98	0.590	filamin-A
K04438	150.13	domain	all	0.992877	1500	1190	2027	366	2.56	0.590	C-crk adapter molecule crk
K04439	635.97	full	all	0.888676	1503	1326	4675	508	2.38	0.590	beta-arrestin
K04440	505.93	domain	all	0.995160	2023	1350	3500	633	1.43	0.590	mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase) [EC:2.7.11.24]
K04441	490.27	full	all	0.974575	3078	2544	5507	482	2.45	0.590	p38 MAP kinase [EC:2.7.11.24]
K04442	558.50	full	all	0.990627	565	431	1995	863	2.04	0.590	mitogen-activated protein kinase-activated protein kinase 5 [EC:2.7.11.1]
K04443	735.37	full	all	0.661446	879	753	2134	486	1.35	0.590	mitogen-activated protein kinase-activated protein kinase 2 [EC:2.7.11.1]
K04444	785.67	full	all	0.954689	618	554	1493	517	1.04	0.589	mitogen-activated protein kinase-activated protein kinase 3 [EC:2.7.11.1]
K04445	1295.80	full	all	0.757382	821	760	6014	997	2.08	0.590	ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]
K04446	880.70	domain	all	0.979170	627	614	3390	992	1.13	0.589	nuclear factor of activated T-cells, cytoplasmic 1
K04447	1181.80	full	all	0.865207	875	847	6684	1212	3.16	0.590	Janus kinase 2 [EC:2.7.10.2]
K04448	347.33	full	all	0.678862	1139	945	2044	350	4.62	0.590	transcription factor AP-1
K04449	450.20	full	all	0.947738	535	454	1340	476	2.97	0.590	transcription factor jun-D
K04450	476.57	full	all	0.729891	735	606	3127	480	5.63	0.590	cyclic AMP-dependent transcription factor ATF-2
K04451	451.00	domain	all	0.906409	528	503	1864	428	4.47	0.590	tumor protein p53
K04452	97.00	full	all	1.000000	424	381	718	236	2.13	0.590	DNA damage-inducible transcript 3
K04453	81.83	domain	all	0.983713	982	702	1318	304	5.24	0.590	Max protein
K04454	676.17	full	all	0.944310	653	463	1383	482	1.88	0.590	MADS-box transcription enhancer factor 2C
K04455	188.83	domain	all	0.946928	661	569	1232	294	4.35	0.590	heat shock protein beta-1
K04456	523.23	domain	all	0.976863	2154	1521	5044	736	2.65	0.590	RAC serine/threonine-protein kinase [EC:2.7.11.1]
K04457	684.50	full	all	0.540554	1124	936	1854	511	2.40	0.590	protein phosphatase 1A [EC:3.1.3.16]
K04458	610.73	domain	all	0.949171	644	617	4408	695	2.19	0.591	receptor-type tyrosine-protein phosphatase R [EC:3.1.3.48]
K04459	361.57	full	all	0.624512	3955	3541	10459	405	5.77	0.590	dual specificity MAP kinase phosphatase [EC:3.1.3.16 3.1.3.48]
K04460	408.27	full	all	0.970336	1640	1523	5939	645	4.21	0.590	serine/threonine-protein phosphatase 5 [EC:3.1.3.16]
K04461	734.03	full	trim	0.720018	973	857	2488	560	2.15	0.590	protein phosphatase 1B [EC:3.1.3.16]
K04462	897.17	domain	trim	0.798585	735	707	4951	912	1.65	0.590	[histone H3]-lysine9 N-methyltransferase (ecotropic virus integration site 1 protein) [EC:2.1.1.367]
K04463	413.47	full	all	0.994485	538	454	2362	589	1.37	0.590	mitogen-activated protein kinase kinase 5 [EC:2.7.12.2]
K04464	674.20	domain	all	0.952829	687	659	5724	1672	2.71	0.590	mitogen-activated protein kinase 7 [EC:2.7.11.24]
K04465	864.30	full	all	0.928740	605	578	2781	662	1.79	0.589	nuclear receptor subfamily 4 group A member 1
K04466	373.43	full	trim	0.996740	633	616	3538	989	3.05	0.590	mitogen-activated protein kinase kinase kinase 14 [EC:2.7.11.25]
K04467	1104.37	full	all	0.913449	682	634	3452	853	2.33	0.591	inhibitor of nuclear factor kappa-B kinase subunit alpha [EC:2.7.11.10]
K04468	450.73	domain	all	0.995152	1035	727	3092	541	1.37	0.589	nemo like kinase [EC:2.7.11.24]
K04469	1227.40	full	all	0.978417	487	474	4510	1569	2.63	0.590	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2
K04477	293.80	domain	all	0.595745	2343	1946	1177	311	6.31	0.590	putative hydrolase
K04478	262.30	domain	trim	0.864315	165	109	408	233	2.23	0.590	monofunctional glycosyltransferase [EC:2.4.99.28]
K04479	401.63	full	all	0.877404	302	274	1170	417	1.63	0.589	DNA polymerase IV (archaeal DinB-like DNA polymerase) [EC:2.7.7.7]
K04480	576.57	full	all	1.000000	167	142	501	463	1.10	0.591	methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]
K04482	511.63	full	trim	0.953218	1367	1092	2117	457	3.00	0.590	DNA repair protein RAD51
K04483	458.70	full	all	0.943236	502	447	2017	486	4.22	0.590	DNA repair protein RadA
K04484	208.37	full	all	0.967780	331	305	511	232	2.72	0.590	DNA repair protein RadB
K04485	195.50	domain	all	0.998509	9014	7386	3994	574	3.74	0.590	DNA repair protein RadA/Sms
K04486	124.10	domain	trim	0.989503	2680	2438	2237	418	8.27	0.590	histidinol-phosphatase (PHP family) [EC:3.1.3.15]
K04487	276.27	full	all	0.934644	16018	13810	8005	498	5.11	0.590	cysteine desulfurase [EC:2.8.1.7]
K04488	146.40	domain	trim	0.845773	7391	5305	1475	264	11.23	0.590	nitrogen fixation protein NifU and related proteins
K04489	432.50	domain	trim	0.473203	8	3	330	300	0.50	0.587	caspase 3A [EC:3.4.22.-]
K04490	841.17	full	all	0.827125	622	578	3740	669	2.33	0.590	transcription factor 7-like 1
K04491	441.37	full	trim	0.932804	822	752	6101	575	2.85	0.590	transcription factor 7-like 2
K04492	553.47	full	all	0.969754	500	409	1597	492	1.99	0.590	lymphoid enhancer-binding factor 1
K04493	150.00	full	all	0.974432	467	142	482	156	1.61	0.590	beta-catenin-interacting protein 1 (inhibitor of beta-catenin and Tcf-4)
K04494	3188.97	full	all	0.973754	425	412	7642	2569	1.23	0.591	chromodomain helicase DNA binding protein 8 [EC:5.6.2.-]
K04495	381.20	full	trim	0.937040	515	463	1643	457	3.52	0.590	transcription factor SOX17 (SOX group F)
K04496	422.33	full	all	0.990926	1826	1502	5145	677	1.73	0.590	C-terminal binding protein [EC:1.1.1.428]
K04497	304.63	full	all	0.996865	3083	2717	9687	852	2.34	0.590	groucho
K04498	250.10	domain	all	0.997326	2275	2246	28838	1988	3.08	0.590	E1A/CREB-binding protein [EC:2.3.1.48]
K04499	576.27	full	all	0.985194	1428	1132	3649	643	2.09	0.590	RuvB-like protein 1 [EC:5.6.2.4]
K04500	986.80	full	all	0.959697	591	309	834	467	0.52	0.591	mothers against decapentaplegic homolog 2
K04501	336.83	domain	all	0.993508	1374	1161	4786	617	1.76	0.590	mothers against decapentaplegic homolog 4
K04502	364.27	full	trim	0.867211	276	236	1139	302	2.07	0.589	fos-like antigen 1
K04503	513.93	full	all	0.918399	610	435	1281	363	2.15	0.590	G1/S-specific cyclin-D1
K04504	757.10	full	all	0.960610	563	501	2139	564	1.91	0.590	peroxisome proliferator-activated receptor delta
K04505	250.23	full	all	0.606832	1217	1127	3592	548	3.27	0.590	presenilin 1 [EC:3.4.23.-]
K04506	92.20	full	all	0.844729	4001	3495	7455	388	13.18	0.590	E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27]
K04507	89.53	full	all	0.997518	1121	1007	1748	389	5.27	0.590	calcyclin binding protein
K04508	186.57	domain	all	0.985673	1991	1542	5255	559	4.09	0.590	transducin (beta)-like 1
K04510	375.07	full	all	1.000000	1532	1297	3327	669	1.90	0.589	vang-like
K04511	357.97	domain	all	0.956429	2204	2118	8664	626	2.57	0.590	prickle
K04512	688.13	full	all	0.993374	1418	1368	5694	1176	2.41	0.590	dishevelled associated activator of morphogenesis
K04513	293.97	domain	all	0.680440	2369	1497	4070	250	3.72	0.590	Ras homolog gene family, member A
K04514	1973.80	domain	trim	0.863330	757	720	2807	1370	1.49	0.590	Rho-associated protein kinase 1 [EC:2.7.11.39]
K04515	372.03	domain	all	0.985884	2785	2227	6586	593	1.74	0.591	calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]
K04516	269.77	full	all	0.855432	1030	891	789	406	2.67	0.590	chorismate mutase [EC:5.4.99.5]
K04517	204.00	domain	all	0.584968	5265	4702	3125	643	11.81	0.590	prephenate dehydrogenase [EC:1.3.1.12]
K04518	282.87	domain	all	0.444985	5015	4395	2917	412	6.10	0.590	prephenate dehydratase [EC:4.2.1.51]
K04519	142.03	full	all	0.982601	645	609	1417	354	5.47	0.590	interleukin 1 beta
K04520	798.87	full	all	0.948519	926	861	3468	964	3.54	0.590	amyloid beta A4 protein
K04521	604.50	full	trim	0.903874	603	547	1953	555	2.03	0.591	beta-site APP-cleaving enzyme 1 (memapsin 2) [EC:3.4.23.46]
K04522	760.93	full	all	0.881168	551	491	1650	512	1.67	0.591	presenilin 2 [EC:3.4.23.-]
K04523	404.77	domain	all	0.880967	2614	2441	8391	664	6.28	0.590	ubiquilin
K04524	181.10	domain	trim	0.976740	519	490	982	309	3.09	0.590	apolipoprotein E
K04525	422.97	domain	all	0.739179	3462	3394	7348	702	8.55	0.590	serpin A
K04526	82.53	domain	all	0.750628	1322	1186	1599	199	11.87	0.590	insulin
K04527	1824.90	full	all	0.803264	922	906	9239	1389	2.42	0.590	insulin receptor [EC:2.7.10.1]
K04528	178.63	full	all	0.932773	441	313	419	204	1.92	0.590	alpha-synuclein
K04529	888.17	full	all	0.949860	479	462	2726	771	1.84	0.591	amyloid beta A4 precursor protein-binding family B member 1
K04530	714.97	full	all	0.896825	840	823	5803	793	2.66	0.590	amyloid beta A4 precursor protein-binding family B member 2
K04531	909.33	full	all	0.921361	1006	987	11201	1055	2.06	0.590	amyloid beta A4 precursor protein-binding family A member 1
K04532	312.57	full	all	0.989381	1298	1238	4035	1036	5.69	0.590	NEDD8-activating enzyme E1 regulatory subunit
K04533	618.53	full	all	1.000000	776	772	15045	2857	4.47	0.590	huntingtin
K04534	642.57	domain	all	0.917003	1001	677	1249	477	2.51	0.590	guanine nucleotide-binding protein G(o) subunit alpha
K04535	561.03	full	all	0.978229	500	188	1004	436	1.06	0.591	guanine nucleotide-binding protein G(z) subunit alpha
K04536	669.10	domain	all	0.523539	1539	883	2058	402	1.56	0.590	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
K04537	797.43	domain	all	0.911628	381	149	809	496	0.95	0.588	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2
K04538	740.17	domain	all	0.891350	543	251	642	340	0.69	0.589	guanine nucleotide-binding protein subunit beta-4
K04539	561.00	domain	all	0.979355	982	743	2183	553	1.52	0.591	guanine nucleotide-binding protein subunit beta-5
K04540	164.10	full	all	0.980676	411	107	329	190	1.13	0.589	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3
K04541	154.83	full	all	0.953394	471	188	368	127	1.47	0.591	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4
K04542	118.50	full	all	0.898549	989	531	347	170	3.69	0.590	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5
K04543	124.20	full	all	0.771883	527	176	230	101	2.87	0.590	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7
K04544	144.53	full	all	0.959096	362	180	293	100	0.90	0.589	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8
K04545	103.83	full	all	0.916767	572	316	354	137	3.13	0.590	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10
K04546	134.30	full	all	0.777024	312	91	214	106	1.88	0.590	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11
K04547	64.33	full	all	0.986425	819	335	340	128	2.76	0.590	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13
K04548	142.10	domain	trim	0.847261	351	188	279	150	1.64	0.590	guanine nucleotide-binding protein G(T) subunit gamma-T1
K04549	120.00	full	trim	0.837740	518	346	286	140	2.18	0.590	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2
K04550	5112.40	domain	all	0.884741	831	828	17581	4595	1.37	0.590	low-density lipoprotein receptor-related protein 1 (alpha-2-macroglobulin receptor)
K04551	317.87	domain	all	0.081678	345	189	2594	548	4.65	0.590	ubiquitin B
K04552	227.87	domain	all	0.931704	1333	795	1383	267	3.01	0.590	ubiquitin-conjugating enzyme E2 L3 [EC:2.3.2.23]
K04553	230.13	domain	all	0.980643	170	155	603	210	1.06	0.589	ubiquitin/ISG15-conjugating enzyme E2 L6 [EC:2.3.2.23]
K04554	207.93	full	all	0.978168	1432	1174	1614	305	2.61	0.590	ubiquitin-conjugating enzyme E2 J2 [EC:2.3.2.23]
K04555	266.17	full	all	0.970218	998	634	1340	265	1.92	0.591	ubiquitin-conjugating enzyme E2 G2 [EC:2.3.2.23]
K04556	139.07	domain	all	0.999280	711	696	3127	667	2.74	0.590	parkin [EC:2.3.2.31]
K04557	793.70	domain	all	0.932785	637	446	1741	503	0.90	0.591	septin 5
K04558	197.70	domain	all	0.996084	513	510	4453	963	4.83	0.590	synphilin-1
K04559	1321.40	full	all	0.766649	793	782	5604	1091	2.14	0.590	huntingtin interacting protein 1
K04560	486.47	full	all	0.624952	1022	855	3057	396	3.96	0.590	syntaxin 1A
K04561	120.00	full	all	0.993476	1914	1675	1920	846	3.22	0.590	nitric oxide reductase subunit B [EC:1.7.2.5]
K04562	200.87	domain	all	0.935704	3171	2522	2512	360	7.59	0.590	flagellar biosynthesis protein FlhG
K04563	552.27	domain	all	0.789549	295	255	1023	426	1.88	0.590	cyclin-dependent kinase [EC:2.7.11.22]
K04564	40.60	full	all	0.999277	13891	11061	4691	302	7.41	0.590	superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
K04565	83.40	domain	all	0.743896	6887	5867	4778	251	10.67	0.590	superoxide dismutase, Cu-Zn family [EC:1.15.1.1]
K04566	251.40	full	all	1.000000	1955	1774	2795	828	3.77	0.590	lysyl-tRNA synthetase, class I [EC:6.1.1.6]
K04567	316.63	full	all	0.973271	11269	9637	10451	734	6.58	0.590	lysyl-tRNA synthetase, class II [EC:6.1.1.6]
K04568	308.47	domain	all	0.982991	2452	1987	1432	536	3.94	0.590	elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-]
K04569	192.37	domain	all	0.980866	1055	1007	2340	359	4.06	0.590	copper chaperone for superoxide dismutase
K04570	237.73	full	all	0.861611	793	667	1484	347	6.00	0.590	Bcl-2-like 1 (apoptosis regulator Bcl-X)
K04571	60.93	domain	all	0.992262	775	641	796	241	3.02	0.589	translocon-associated protein subunit delta
K04572	620.60	domain	all	0.862553	982	927	2608	637	2.13	0.590	neurofilament light polypeptide
K04573	664.37	full	all	0.959529	664	656	5794	946	2.72	0.590	neurofilament medium polypeptide (neurofilament 3)
K04574	692.63	full	all	0.937619	462	460	6878	1223	4.74	0.590	neurofilament heavy polypeptide
K04575	916.30	full	all	0.983374	892	887	8307	1723	3.20	0.590	amyotrophic lateral sclerosis 2 protein
K04576	740.27	full	all	0.737398	702	658	5557	601	2.59	0.590	calcitonin receptor
K04577	599.40	domain	all	0.564953	1260	1174	4002	576	3.18	0.590	calcitonin receptor-like
K04578	670.47	full	all	0.609636	1028	948	5061	548	4.11	0.590	corticotropin releasing hormone receptor 1
K04579	690.53	domain	all	0.813213	626	567	2638	533	3.41	0.590	corticotropin releasing hormone receptor 2
K04580	703.53	full	trim	0.902891	352	346	1983	554	1.68	0.591	gastric inhibitory polypeptide receptor
K04581	670.37	full	all	0.974020	323	297	2140	554	1.32	0.591	glucagon-like peptide 1 receptor
K04582	621.93	full	all	0.982987	482	473	1522	619	1.38	0.591	glucagon-like peptide 2 receptor
K04583	745.87	full	all	0.806720	835	814	3873	601	1.88	0.590	glucagon receptor
K04584	565.73	full	all	0.988147	475	467	2228	547	1.04	0.591	growth hormone releasing hormone receptor
K04585	637.30	full	all	0.732692	1226	1160	5091	541	2.59	0.590	parathyroid hormone receptor 1
K04586	819.57	full	all	0.941762	477	461	2114	669	1.51	0.589	parathyroid hormone receptor 2
K04587	611.30	full	all	0.989592	618	586	1875	512	1.01	0.590	pituitary adenylate cyclase-activating polypeptide type I receptor
K04588	640.97	full	trim	0.892775	537	522	2331	624	2.30	0.590	secretin receptor
K04589	653.27	full	all	0.916620	1214	1175	3091	538	2.09	0.590	vasoactive intestinal peptide receptor 1
K04590	627.43	full	all	0.972452	599	580	2690	538	1.62	0.590	vasoactive intestinal peptide receptor 2
K04591	878.97	domain	all	0.700525	481	480	13298	952	2.80	0.590	adhesion G protein-coupled receptor E1
K04592	2432.50	full	all	0.963774	535	514	3840	1511	0.87	0.590	adhesion G protein-coupled receptor L1
K04593	1200.77	full	all	0.844204	1045	1032	9732	1208	4.05	0.590	adhesion G protein-coupled receptor L2
K04594	2317.10	full	trim	0.973409	612	596	3268	1499	1.03	0.590	adhesion G protein-coupled receptor L3
K04595	593.07	domain	all	0.980957	494	484	1498	753	1.62	0.591	adhesion G protein-coupled receptor L4
K04596	1877.20	full	all	0.976724	557	550	5984	1656	1.10	0.589	adhesion G protein-coupled receptor B1
K04597	2168.10	full	all	0.970979	453	444	4333	1638	0.98	0.591	adhesion G protein-coupled receptor B2
K04598	2320.37	full	all	0.952805	469	434	2945	1491	1.61	0.589	adhesion G protein-coupled receptor B3
K04599	145.43	domain	all	0.977643	1922	1894	8991	629	10.34	0.590	G protein-coupled receptor Mth (Methuselah protein)
K04600	4201.87	domain	all	0.767583	832	830	11527	3009	1.59	0.590	cadherin EGF LAG seven-pass G-type receptor 1
K04601	4865.47	full	all	0.941929	461	460	6522	3031	1.07	0.591	cadherin EGF LAG seven-pass G-type receptor 2
K04602	4871.73	full	all	0.983846	472	472	12379	3591	0.82	0.588	cadherin EGF LAG seven-pass G-type receptor 3
K04603	1803.33	full	all	0.904603	695	676	5298	1212	2.15	0.590	metabotropic glutamate receptor 1
K04604	1678.57	full	all	0.884665	677	661	5412	1171	2.25	0.590	metabotropic glutamate receptor 5
K04605	1538.73	domain	all	0.934302	698	656	3326	958	2.97	0.590	metabotropic glutamate receptor 2
K04606	1380.63	domain	all	0.681743	938	873	5221	1059	6.23	0.590	metabotropic glutamate receptor 3
K04607	1628.03	full	trim	0.923855	631	570	2708	963	2.03	0.591	metabotropic glutamate receptor 4
K04608	1644.90	domain	all	0.902611	527	512	2863	1016	1.46	0.590	metabotropic glutamate receptor 6
K04609	1618.77	full	all	0.785557	699	640	4284	1014	3.16	0.590	metabotropic glutamate receptor 7
K04610	1525.37	domain	trim	0.767045	836	781	3422	1026	2.95	0.590	metabotropic glutamate receptor 8
K04611	1133.07	domain	all	0.825260	269	268	6654	1073	1.48	0.589	metabotropic X receptor
K04612	988.67	domain	all	0.851936	649	612	3088	1014	4.24	0.590	calcium-sensing receptor
K04613	691.63	full	all	0.899316	16027	15959	89025	1022	3.18	0.590	vomeronasal 2 receptor
K04614	72.63	domain	all	0.996317	5708	5556	5699	427	8.23	0.590	vomeronasal 1 receptor
K04615	324.40	domain	all	0.982121	2586	2445	15364	855	5.49	0.590	gamma-aminobutyric acid type B receptor
K04617	420.73	full	all	1.000000	484	483	3575	874	1.82	0.590	gamma-aminobutyric acid type B receptor-like
K04618	395.67	full	all	0.971014	221	201	2896	950	2.94	0.590	galactose oxidase [EC:1.1.3.9]
K04619	511.10	domain	all	0.980387	651	572	1459	509	1.96	0.590	G protein-coupled receptor family C group 5 member B
K04620	481.37	full	all	0.987044	595	585	2216	585	2.02	0.589	G protein-coupled receptor family C group 5 member C
K04621	547.03	full	all	0.993711	175	160	704	361	0.69	0.591	G protein-coupled receptor family C group 5 member D
K04622	929.37	domain	trim	0.943450	832	825	3978	1013	3.14	0.590	G protein-coupled receptor family C group 6 member A
K04623	269.63	full	trim	0.966404	160	132	1895	782	2.84	0.590	bride of sevenless protein
K04624	928.53	domain	all	0.916164	999	993	6762	1027	2.75	0.590	taste receptor type 1 member 1
K04625	1096.47	full	all	0.927762	208	205	2018	951	1.40	0.590	taste receptor type 1 member 2
K04626	895.47	domain	trim	0.977801	508	506	2984	1086	2.28	0.590	taste receptor type 1 member 3
K04627	117.60	full	all	0.992116	320	317	2571	552	7.85	0.590	pheromone a factor receptor
K04628	581.03	domain	all	0.884034	736	690	2243	628	5.06	0.590	ceramide galactosyltransferase [EC:2.4.1.47]
K04629	487.27	full	all	1.000000	9	8	583	413	0.69	0.591	cAMP receptor
K04630	613.47	domain	all	0.808614	2669	1782	4427	617	5.82	0.590	guanine nucleotide-binding protein G(i) subunit alpha
K04631	748.73	full	all	0.876426	998	706	1415	482	1.72	0.589	guanine nucleotide-binding protein G(t) subunit alpha 1/2
K04632	788.03	full	all	0.603463	1140	943	3547	548	3.31	0.590	guanine nucleotide-binding protein G(s) subunit alpha
K04633	753.03	full	trim	0.900571	662	532	1402	421	1.08	0.589	guanine nucleotide-binding protein G(olf) subunit alpha
K04634	775.23	full	all	0.500891	1161	842	2835	622	2.43	0.590	guanine nucleotide-binding protein G(q) subunit alpha
K04635	776.10	domain	trim	0.689079	608	332	1449	495	1.44	0.589	guanine nucleotide-binding protein subunit alpha-11
K04636	687.70	domain	all	0.647466	542	457	1276	469	2.19	0.590	guanine nucleotide-binding protein subunit alpha-14
K04637	597.43	domain	all	0.922161	414	383	1285	425	1.38	0.590	guanine nucleotide-binding protein subunit alpha-15
K04638	89.30	full	all	0.995013	862	799	1775	587	4.33	0.590	intraflagellar transport protein 57
K04639	624.83	full	all	0.921098	691	552	1024	402	1.27	0.589	guanine nucleotide-binding protein subunit alpha-13
K04640	526.53	domain	all	0.713397	673	640	2006	539	3.46	0.590	guanine nucleotide-binding protein subunit alpha, other
K04641	238.27	full	all	0.968414	60	48	323	245	1.17	0.590	bacteriorhodopsin
K04642	388.67	full	all	1.000000	48	41	352	274	0.64	0.589	halorhodopsin
K04643	185.07	full	trim	0.907851	133	115	407	241	4.88	0.590	sensory rhodopsin
K04644	306.63	full	all	0.847352	568	470	946	224	1.94	0.591	clathrin light chain A
K04645	322.80	full	all	0.850420	524	461	1012	254	1.80	0.590	clathrin light chain B
K04646	464.10	full	all	1.000000	2153	1879	7810	1735	1.52	0.590	clathrin heavy chain
K04647	499.27	full	all	1.000000	145	144	3204	802	1.69	0.591	huntingtin-associated protein 1
K04648	217.87	domain	all	0.981078	1116	1097	11240	1323	5.45	0.590	dynactin 1
K04649	204.67	domain	all	0.977407	1541	1029	1556	271	2.47	0.590	ubiquitin-conjugating enzyme (huntingtin interacting protein 2) [EC:2.3.2.23]
K04650	779.73	domain	all	0.970083	596	589	12056	2065	3.04	0.590	nuclear receptor co-repressor 1
K04651	35.90	domain	all	0.997114	3321	2598	785	190	10.34	0.590	hydrogenase nickel incorporation protein HypA/HybF
K04652	104.23	full	all	0.999791	2805	2390	1804	376	2.87	0.590	hydrogenase nickel incorporation protein HypB
K04653	32.20	full	all	0.989731	3618	2798	528	170	9.46	0.590	hydrogenase expression/formation protein HypC
K04654	199.03	full	all	1.000000	2775	2422	1152	466	2.14	0.590	hydrogenase expression/formation protein HypD
K04655	157.20	full	all	0.997012	3436	3023	2128	628	5.35	0.590	hydrogenase expression/formation protein HypE
K04656	136.67	full	all	0.999208	2755	2525	6467	846	2.68	0.590	hydrogenase maturation protein HypF
K04657	237.27	domain	all	1.000000	768	757	4956	1020	2.47	0.590	chordin
K04658	99.23	full	all	1.000000	1124	845	1404	298	3.39	0.590	noggin
K04659	1114.40	full	all	0.928781	2743	2648	13409	1043	2.31	0.590	thrombospondin 2/3/4/5
K04660	515.53	domain	all	0.971365	511	435	1106	464	1.85	0.590	decorin
K04661	297.93	domain	all	0.952321	796	658	2066	458	2.48	0.590	follistatin
K04662	582.60	full	all	0.799678	735	649	2759	596	3.50	0.590	bone morphogenetic protein 4
K04663	681.93	full	all	0.960078	505	430	1023	465	1.60	0.589	bone morphogenetic protein 5
K04664	587.83	full	all	0.991051	490	451	1059	476	1.17	0.589	growth differentiation factor 5
K04665	175.90	domain	all	0.991096	450	445	2246	705	4.00	0.590	anti-mullerian hormone
K04666	252.40	domain	all	0.986246	990	956	2833	561	3.85	0.590	nodal
K04667	465.90	domain	all	0.977418	661	593	1390	526	2.61	0.590	inhibin beta A chain
K04668	276.20	full	all	0.999267	711	685	1272	462	2.29	0.590	left-right determination factor
K04669	293.13	domain	all	0.804491	229	223	1917	454	4.68	0.590	TGF-beta receptor, other
K04670	882.67	full	all	0.900023	686	500	1536	579	1.52	0.589	activin receptor type-2A [EC:2.7.11.30]
K04671	526.17	full	all	0.987200	871	831	6994	944	2.62	0.590	bone morphogenetic protein receptor type-2 [EC:2.7.11.30]
K04672	511.07	domain	all	0.958167	248	244	1955	614	1.34	0.589	anti-mullerian hormone receptor type-2 [EC:2.7.11.30]
K04673	940.13	full	all	0.977165	552	451	1126	552	0.82	0.590	bone morphogenetic protein receptor type-1A [EC:2.7.11.30]
K04674	846.30	full	all	0.798319	906	811	3124	564	1.59	0.590	TGF-beta receptor type-1 [EC:2.7.11.30]
K04675	785.83	full	all	0.812231	1035	925	3144	586	1.51	0.590	activin receptor type-1 [EC:2.7.11.30]
K04676	982.13	full	all	0.480358	879	646	2608	701	1.64	0.589	mothers against decapentaplegic homolog 1
K04677	494.37	full	all	0.816422	965	911	3694	452	2.97	0.590	mothers against decapentaplegic homolog 6
K04678	840.50	full	all	0.986856	1434	1195	6728	910	1.71	0.589	E3 ubiquitin ligase SMURF1/2 [EC:2.3.2.26]
K04679	180.63	full	all	0.998216	1408	1401	9146	1325	3.63	0.590	MAD, mothers against decapentaplegic interacting protein
K04680	155.17	full	all	0.985730	481	356	589	262	2.50	0.590	DNA-binding protein inhibitor ID1
K04681	1006.03	full	all	0.595691	1162	1137	5661	1041	4.42	0.590	retinoblastoma-like protein 1
K04682	266.20	full	all	0.959242	1407	1312	3028	398	3.60	0.590	transcription factor E2F4/5
K04683	86.77	full	all	0.651520	1356	1152	3448	395	3.12	0.590	transcription factor Dp-1
K04684	607.00	domain	trim	0.970227	450	396	1883	850	1.59	0.590	transcription factor Sp1
K04685	181.20	domain	trim	0.691768	460	419	770	281	3.92	0.590	cyclin-dependent kinase inhibitor 2B
K04686	496.37	full	all	0.838060	600	442	1423	361	2.28	0.590	paired-like homeodomain transcription factor 2
K04687	63.87	domain	all	0.998544	394	342	450	170	2.67	0.590	interferon gamma
K04688	558.60	domain	all	0.938674	1999	1723	5111	578	3.27	0.590	ribosomal protein S6 kinase beta [EC:2.7.11.1]
K04690	711.90	domain	all	1.000000	52	52	1269	586	0.77	0.589	frizzled
K04691	454.00	domain	trim	0.592199	1617	1139	1373	401	4.52	0.590	serine protease DegS [EC:3.4.21.-]
K04692	1138.87	domain	trim	0.982795	506	353	1514	770	0.63	0.590	signal transducer and activator of transcription 3
K04693	425.20	full	all	0.915766	384	371	1832	479	3.30	0.590	interferon regulatory factor 9
K04694	173.93	full	all	0.998198	635	553	1066	479	3.21	0.590	suppressor of cytokine signaling 1
K04695	264.83	full	all	0.847061	656	555	1566	331	3.54	0.590	suppressor of cytokine signaling 2
K04696	206.30	full	all	0.987718	669	534	1089	246	1.55	0.589	suppressor of cytokine signaling 3
K04697	516.83	full	all	0.979380	498	447	1011	449	1.71	0.590	suppressor of cytokine signaling 4
K04698	497.10	full	trim	0.938094	1009	947	3225	557	2.70	0.590	suppressor of cytokine signaling 5
